key,de,en,ru,tr,ar,fr,fa,nl,pl,it,uk,ka (georgisch),es,pt
LOGIN,Anmelden,Login,Вход,Giriş,تسجيل الدخول,Connexion,ورود,Inloggen,Zaloguj się,Accesso,Логін,Შესვლა,Acceso,Conecte-se
LOGIN.PEDIATRIC.CODE,Weiter mit Kinderarzt-Code,Continue with pediatric code,Продолжить с педиатрическим кодом,Pediyatrik kod ile devam edin,تابع مع رمز طب الأطفال,Continuer avec le code pédiatrique,ادامه با کد کودکانه,Ga verder met de pediatrische code,Kontynuuj z kodem pediatrycznym,Continua con il codice pediatrico,Продовжуйте дитячий код,გააგრძელეთ პედიატრიული კოდი,Continuar con código pediátrico,Continue com o código pediátrico
LOGIN.FAMILY.CODE,Weiter mit Familien-Code,Continue with family code,Продолжить семейный код,Aile koduyla devam edin,الاستمرار مع رمز العائلة,Continuer avec le code famille,ادامه با کد خانوادگی,Ga verder met de familiecode,Kontynuuj z kodem rodzinnym,Continua con il codice familiare,Продовжуйте сімейний код,გააგრძელეთ ოჯახის კოდი,Continuar con el código de familia,Continue com o código da família
LOGIN.EMAIL.CODE,Weiter mit E-Mail,Continue with e-mail,Продолжить с электронной почтой,E-posta ile devam edin,الاستمرار مع البريد الإلكتروني,Continuer avec l'e-mail,ادامه با ایمیل,Ga verder met e-mail,Kontynuuj z e-mailem,Continua con l'email,Продовжуйте електронну пошту,განაგრძეთ ელექტრონული ფოსტით,Continuar con el correo electrónico,Continue com e-mail
LANGUAGE.SELECT.TEXT,Ihre Sprache,Your language,Ваш язык,Sizin diliniz,لغتك,Votre langue,زبان شما,Uw taal,Twój język,La vostra lingua,Твоя мова,Შენი ენა,Tu lenguaje,Seu idioma
LANGUAGE.BOTTOMSHEET.CHOOSE,Wählen Sie Ihre Sprache,Choose your language,Выберите язык,Dilinizi seçin,اختر لغتك,Choisissez votre langue,زبان خود را انتخاب کنید,Kies je taal,Wybierz język,Scegliete la vostra lingua,Виберіть свою мову,აირჩიეთ თქვენი ენა,Elige tu idioma,Escolha o seu idioma
SPLASHSCREEN.WELCOME.TEXT,Willkommen bei FeverApp,Welcome to FeverApp,Добро пожаловать в FeverApp,FeverApp'a Hoş Geldiniz,مرحبًا بك في FeverApp,Bienvenue à FeverApp,خوش آمدید به FeverApp,Welkom bij FeverApp,Witamy w FeverApp,Benvenuti a FeverApp,Ласкаво просимо до лихоманки,კეთილი იყოს თქვენი მობრძანება Feverapp- ში,Bienvenido a FeverApp,Bem -vindo ao FeverApp
COUNTRY.SELECT.TEXT,Ihr Land,Your country,Ваша страна,Sizin ülkeniz,بلدك,Votre pays,کشور شما,Jouw land,Twój kraj,Il vostro paese,Твоя країна,Შენი ქვეყანა,Tu país,Seu país
COUNTRY.INPUT.NOTFOUND,Land nicht gefunden,Country not found,Страна не найдена,Ülke bulunamadı,البلد غير موجود,Pays non trouvé,کشور یافت نشد,Land niet gevonden,Nie znaleziono kraju,Paese non trovato,Країна не знайдена,ქვეყანა ვერ მოიძებნა,País no encontrado,País não encontrado
COUNTRY.BOTTOMSHEET.CHOOSE,Wählen Sie Ihr Land,Choose your country,Выберите страну,Ülkenizi seçin,اختر بلدك,Choisissez votre pays,کشور خود را انتخاب کنید,Kies je land,Wybierz swój kraj,Scegliete il vostro paese,Виберіть свою країну,აირჩიეთ თქვენი ქვეყანა,Elige tu país,Escolha seu país
