key,CHANGE_DATE,de,en,ru,tr,ar,fr,fa,nl,pl,it,es,sp - nicht berücksichtigen,pt,uk,ka (georgisch)
CONTROLS.OK,,OK,OK,ОК,OK,موافق,OK,باشد,OK,OK,OK,Está bien,OK ,OK,ОК,OK
CONTROLS.NEXT,,Weiter,Next,Далее,ileri,متابعة,Prochain,بعدی,Verder,Dalej,avanti,Siguiente,Siguiente ,Próximo ,Далі,შემდეგ
CONTROLS.BACK,,Zurück,Back,Назад,Geri,خلف,Retour,بازگشت,Terug,Powrót,indietro,Volver,Volver ,Voltar ,Назад,უკან
CONTROLS.DONE,,Fertig,Done,Готово,Tamam,تم الانتهاء من,Prêt,انجام شد,Klaar,Gotowe,finito,Listo,Hecho ,Feito ,Готово,დასრულებულია
CONTROLS.FINISH,,Abschließen,Finish,Закончить,Bitti,قفل,Finir,پایان,Einde,Zamknij,chiudi,Finalizar,Finalizar,Finalizar,Закінчити,დასრულება
CONTROLS.SKIP,,Überspringen,Skip,Перескочить,Atla,تخطى,Passer,پرش,Overslaan,Przeskocz,salta,Omitir,Saltar ,Pular ,Перестрибнути,გამოტოვეთ
CONTROLS.DON_T_KNOW,,Weiß nicht,Don't know,Не знаю,Bilmiyorum,لا أعلم,Je ne sais pas ,نمی دانم,Weet ik niet,Nie wiem,non lo so,No lo sé,No lo sé ,Não sei ,Не знаю,არ ვიცი
CONTROLS.NO_ANSWER,,Keine Angabe,No answer,Без ответа,Cevap yok,لا يوجد معلومات,Aucune donnée ,بدون پاسخ,Niet gespecificeerd,Brak odpowiedzi,nessun dato,Sin respuesta,Sin respuesta ,Sem resposta ,Без відповіді,პასუხი არ არის
CONTROLS.CANCEL,,Abbrechen,Cancel,Отменить,iptal,إحباط,Annuler ,لغو کردن,Annuleren,Anuluj,cancella,Cancelar ,Cancelar ,Cancelar ,Відмінити,გაუქმება
CONTROLS.CLOSE,,Schließen,Close,Закрыть,Kapat,يغلق,Fermer,بستن,Sluiten,Zamknij,chiudi,Cerrar,Cerrar ,Fechar ,Закрити,დახურვა
CONTROLS.PLEASE_SELECT,,Bitte auswählen,Please select,"Пожалуйста, выберите.",Lütfen seçiniz,الرجاء التحديد,Veuillez sélectionner ,لطفاً انتخاب کنید,Gelieve te kiezen,Proszę wybrać,seleziona,"Por favor, seleccione","Por favor, seleccione ",Favor selecionar ,"Будь ласка, оберіть.",გთხოვთ აირჩიოთ
PP.HE,,er,he,он,O,هو,il,او,hij,on,lui,Él,el,ele ,він,ის
PP.SHE,,sie,she,она,O,انتِ,elle,او,zij,ona,lei,Ella,ella ,ela ,вона,ის
PP.IT,,Ihr Kind,your child,Ваш ребенок,çocuğunuz,طفلها,Votre enfant ,فرزند شما,uw kind,Twoje dziecko,Suo bimbo,Su Hijo (a),su hijo ,seu filho ,Ваша дитина,თქვენი ბავშვი
CALENDAR.TODAY,,Heute,Today,Сегодня,Bugün,اليوم,Aujourd'hui,امروز,Vandaag,Dzisiaj,oggi,Hoy,Hoy ,Hoje ,Сьогодні,დღეს
CALENDAR.YESTERDAY,,Gestern,Yesterday,Вчера,Dün,أمس,Hier,دیروز,Gisteren,Wczoraj,ieri,Ayer,Ayer ,Ontem ,Вчора,გუშინ
TEXT_INPUT.PLACEHOLDER,,Hier schreiben…,Write here…,Писать здесь…,Buraya yazınız,اكتب هنا...,Ecrivez ici…,اینجا بنویسید...,Schrijf hier...,Wpisz tutaj...,scrivere qui...,Escriba aquí,Escribe aquí... ,Escreva aqui... ,Писати тут…,ჩაწერეთ აქ
YEAR_INPUT.PLACEHOLDER,,Jahr,Year,Год,Yıl,عام,Année,سال,Jaar,Rok,ano,Año,Año ,Ano ,Рік,წელი
YEAR_MONTH_INPUT.PLACEHOLDER,,Monat&nbsp;&nbsp;&nbsp;Jahr,Month&nbsp; &nbsp; &nbsp;Year,Месяц&nbsp;&nbsp;&nbsp;Год,ay&nbsp;&nbsp;&nbsp;yıl,الشهر&nbsp;&nbsp;&nbsp;السنة,Mois&nbsp;&nbsp;&nbsp;Année,ماه&nbsp; &nbsp; &nbsp;سال,Maand&nbsp;&nbsp;&nbsp;Jaar,Miesiąc&nbsp;&nbsp;Rok,Mese&nbsp;&nbsp;&nbsp;Anno,Mes&nbsp;&nbsp;&nbsp;Año,Mes&nbsp; & nbsp; & nbsp;Año,Mês&nbsp; & nbsp; & nbsp; & nbsp;Ano,Місяць&nbsp;&nbsp;&nbsp;Рік,თვე&nbsp;&nbsp;&nbsp;წელი
